covariate,raw_smd,ipw_smd
z_total_bl,0.16294044251672016,-0.013696124356960805
z_cog_bl,0.2737497942581327,-0.0066839014341408725
male,-0.10289893140667421,0.0017252370723665586
age,-0.23242479867983715,0.007457166744855056
han,0.07812911539269905,0.002358226516213489
only_child,0.30080976326804887,0.00083477400920346
father_edu,0.320853557145302,0.0019091618693685042
mother_edu,0.3334388619875367,0.0006447210956736407
family_econ,0.3101378484191909,-0.0031314148838728815
parent_income_relative,0.2815451588300649,-0.004035654573182214
parent_child_time,0.03144190316461636,-0.002503220238026302
